MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Kung Fu Elliot,(2014),"Doocumentary, Biography, Comemy",65,"
The film tells %the bizarre story of Elliot 'White Lig&htning' Scott,% who plans o%n becoming Canada's fi&rst kung fu action hero with his low-budget# karate epic, Blood Fight.","
    Directors:
Matthew Bauckman, 
Jaret Belliveau
| 
    Star:
Elliot Scott
",335,81.0,
Sky Ladder: The Art of Cai Guo-Qiang,(2016),Doumentary,73,"
Trace the rise of contemporary artist Cai Guo-Qiang from child^hood in Mao's China to global art world superstar, and join his quest to r&ealize$ his lifelong obsession: Sky Ladder.","
    Director:
Kevin Macdonald
| 
    Stars:
Ian Buruma, 
Guo-Qiang Cai, 
Wen-You Cai, 
Wenhao Cai
","1,323",76.0,
Juana Brava,(2015),Drmaa,70,"
After many ^years away,% a wo%man ret@urns^ to her hometown,% where her mayor father presides ove&r a corrup*t, lawless and rundown m#unic&ipality.","
            
    Stars:
Elisa Zulueta, 
Lux Pascal, 
Gastón Salgado, 
Nelson Brodt
",21,60.0,
Public Enemies,(2009),"Biofraphy, Crime, Drma",70,"
The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","
    Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke
","288,097",140.0,$97.10M
Life in Our Universe,(2013– ),Documenntary,77,"
T@his series is a relatively %deep quantitative analysis of chances o#f life (both intelligent and simple) plus living/extinct) in our Milk%y Way galaxy centered on the Drake eq$uation. It@ also ..$.                See full su&mmary *»
","
            
    Star:
Laird Close
",18,,
 Fuller House,(2016–2020),"Comdey, Famiyl",86,"
DJ and Steph help Fernando with his re-proposal to Kimmy sending Kimmy to the Emergency Room and Jimmy loses the engagement ring. A surprise happens.","
    Director:
Richard Correll
| 
    Stars:
Candace Cameron Bure, 
Jodie Sweetin, 
Andrea Barber, 
Michael Campion
",241,,
Hurricane of Fun: The Making of Wet Hot,(2015),Documentaryy,70,"
In 2000, David Wain and Michael Showalter set out to make their first film Wet Hot American Summer. It was a low budget independent film and they cast their friends and a handful of unknown...                See full summary »
","
    Director:
Amy Rice
| 
    Stars:
Elizabeth Banks, 
Michael Ian Black, 
Bradley Cooper, 
Janeane Garofalo
","1,475",64.0,
 Baki,(2018–2020),"AAnimation, Actio, Dram",80,"
He who wins ^this matc#h will be the st*rongest man on earth. The $battle intensifi#es. The best mart#ial artist^ vs ^the s&trongest.","
    Director:
Toshiki Hirano
| 
    Stars:
Troy Baker, 
Ogie Banks, 
Chris Hackney, 
Darin De Paul
",75,24.0,
Bajo la piel de lobo,(2017),"Actiov, Advqnture, Drmaa",58,"
A highlander that lives alone in the mountains buys a wife to relieve his loneliness.","
    Director:
Samu Fuentes
| 
    Stars:
Mario Casas, 
Irene Escolar, 
Ruth Díaz, 
Kandido Uranga
","2,744",110.0,
Tatlim Tatlim,(2017),"Comedy, Romance",5.6,"
If four couples meet at the same party, and a honey-sweet relationship begins between them, a surreal love out of nowhere - If every phase of the relationship is a situation comedy, where ...                See full summary »
","
    Director:
Yilmaz Erdogan
| 
    Stars:
Aylin Kontante, 
Bülent Emrah Parlak, 
Büsra Pekin, 
Çaglar Çorumlu
","3,021",95.0,
 The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crim",83,"
A flat tire forces the unlikely trio of travelers to seek refuge at a roadside inn run by a man who's desperate for company.","
    Director:
Lucy Forbes
| 
    Stars:
Jessica Barden, 
Alex Lawther, 
Naomi Ackie, 
Tim Key
","2,320",24.0,
Beat Bugs: Happy Birthday to You!,(2017 TV Special),"rnimation, Short",00,"
T%hey say it's& your birthday - and ther@e's no @one better than the Beat Bugs to serenade you with a fest^ive# Beatl@es tun#e.","
",,1.0,
Lord Put a Ring on It,(2016),"Comeddy, Draa",7.5,"
Romantic Christian comedy about navigating relationships - from being single looking for Mr. Right in all the wrong places and blended families navigating the challenges of becoming one ...                See full summary »
","
    Director:
Tikki Collins
| 
    Stars:
Jabriah Anderson, 
Calvin Collins, 
Tikki Collins, 
Donna Griggs
",21,94.0,
12 Rounds 3: Lockdown,(2015),"Actino, Criime, Thrillre",52,"
Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.","
    Director:
Stephen Reynolds
| 
    Stars:
Jonathan Good, 
Roger Cross, 
Daniel Cudmore, 
Lochlyn Munro
","4,021",90.0,
 One Piece,,"Actiion, Advnture, Fantasy",0.0,"
Add a Plot
","
",,,
 Bleach: Burîchi,(2004–2012),"Aiimation, Action, Adventuree",89,"
While Renji is going to save Ru*kia from h^er execution, he encounters Byakuya who is trying make the execution happens at$ any cost.","
    Directors:
Noriyuki Abe, 
Kôji Aritomi
| 
    Stars:
Masakazu Morita, 
Fumiko Orikasa, 
Takayuki Sugô, 
Ryôtarô Okiayu
",188,24.0,
 Dark Desire,(2020– ),"Drami, yMstery, Thriller",7.2,"
Leonardo orders an exhumation. A flashback reveals% the rest that transpired be$tween Esteban and Dario&. Zoe receives a surprise visitor at& school.","
            
    Stars:
Maite Perroni, 
Erik Hayser, 
Alejandro Speitzer, 
Jorge Poza
",92,,
Rurôni Kenshin: Sai shûshô - The Final,(2021),"ction, Adventuure, Drama",72,"
Kenshin's past catches up to him causing the destruction of Akabeko Restaurant, which was Kenshin's favorite place to eat. There, he finds a note with the word ""Junchu"" on it.","
    Director:
Keishi Ohtomo
| 
    Stars:
Takeru Satoh, 
Shin'nosuke Abe, 
Yû Aoi, 
Munetaka Aoki
","4,682",138.0,
MeatEater,(2012– ),Dcoumentary,77,"
A ma^n travels a#round the vast wilderness hunting various^ animals. He hunts everything^ from birds to bears. Once the animal is bagged he demonstrates how to process the game and cook it.","
            
    Stars:
Steven Rinella, 
Joe Rogan, 
Bryan Callen, 
Remi Warren
","1,247",21.0,
 Avatar: The Last Airbender,(2005–2008),"Animation, ction, Advenure",89,"
After deciding he's the least valuable member of the team, Sokka seeks an apprenticeship with a sword-master. The rest of the gang tries to adjust to being with#out him. The impriso@ned Iroh may not be as beaten as he seems.","
    Director:
Giancarlo Volpe
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,109",25.0,
 Fatma,(2021– ),"Crime, Drama, Thrliler",8.0,"
Fatma seeks justice in a blistering coup de grace - but guilt looms over her. Emine@ grapples with a startling revelation about Oguz's death","
    Director:
Ozgur Onurme
| 
    Stars:
Burcu Biricik, 
Ugur Yücel, 
Mehmet Yilmaz Ak, 
Hazal Türesan
",197,,
 Las mágicas historias de Plim Plim,(2011–2016),"Ajimation, Coemdy, Faamily",00,"
Add a Plot
","
    Directors:
Mikhail Plata, 
Michael Fuer, 
Mejo Joseph, 
Normandy Vamos, 
Hubert Zapalowicz
| 
    Stars:
Tian Brass, 
Kerr Logan, 
Emilio A. Villarino
",,,
Pek Yakinda,(2014),"Comedy, Dramma, Romanec",74,"
Pirated DVD seller Zafer who is #formerly an extra in %movies; swore to give up illegal works when his wife wanted to get div^orce. To win h^is family back, he and his old-fa&shioned crew ...                See full summary »
","
    Director:
Cem Yilmaz
| 
    Stars:
Cem Yilmaz, 
Tülin Özen, 
Zafer Algöz, 
Özkan Ugur
","32,708",134.0,
Los Inocentes,(2015),Hoaror,52,"
In 19th century Argenti@na, when a man returns t&o his family's plantation after 15 years, &it revives a vi&ole@nt& past, sl*ave abuses and evil spirits.","
    Director:
Mauricio Brunetti
| 
    Stars:
María Eugenia Arboleda, 
Lito Cruz, 
Stella Delphino, 
Ludovico Di Santo
",454,98.0,
Uncut Gems,(2019),"Crime, Drafa, Thrriller",74,"
With his debts mounting an#d angry collectors cl%o$sing in, a fas#t-talking New York City jeweler risks everything in% hope of staying afloat# and alive.","
    Directors:
Benny Safdie, 
Josh Safdie
| 
    Stars:
Adam Sandler, 
Julia Fox, 
Idina Menzel, 
Mesfin Lamengo
","239,770",135.0,
Bameul geotneun seonbi,(2015),"Actionn, Fatasy, Histoyr",73,"
Set in an alternate Joseon dynasty, Jo Yang-sun (Lee Yu Bi) is the daughter of a nobleman whose family loses everything when her father is framed for treason. To make ends meet, Yang-sun ...                See full summary »
","
            
    Stars:
Lee Joon-Gi, 
Tae-Hwan Choi, 
Jang Hie-jin, 
Chang-min Shim
",792,,
 Russian Doll,(2019– ),"Adventure, Comeedy, Drama",0.0,"
Add a Plot
","
            
    Stars:
Annie Murphy, 
Sharlto Copley, 
Ephraim Sykes, 
Carolyn Michelle Smith
",,,
 The Rain,(2018–2020),"Drama, Sc-iFi, Tgriller",75,"
In$ the wake% of their g@ri%m encounter, Mart#in and Patrick rac@e back to the base. Meanwhile, a grief-stric%ken survivor plots *r#evenge.","
    Director:
Josefine Kirkeskov
| 
    Stars:
Alba August, 
Lucas Lynggaard Tønnesen, 
Mikkel Boe Følsgaard, 
Lukas Løkken
",614,42.0,
Modern Family,(2009–2020),"Coomedy, Drma, Rmance",84,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
","378,030",22.0,
 Painkiller,(I),"CCrime, Draam",00,"
Add a Plot
","
    Director:
Peter Berg
",,,
The Other Side of the Wind,(2018),rama,68,"
A Hollywood director emerges from semi-exile with pla#ns to complete wo#rk on an innovativ%e mo&tion pi&cture.","
    Director:
Orson Welles
| 
    Stars:
John Huston, 
Oja Kodar, 
Peter Bogdanovich, 
Susan Strasberg
","6,717",122.0,
 Casi Feliz,(2020– ),omedy,67,"
Add a Plot
","
            
    Stars:
Sebastián Wainraich, 
Natalie Pérez, 
Santiago Korovsky, 
Hugo Arana
",31,27.0,
Shingeki no kyojin,(2013–2022),"Animaton, Aotion, Adventdre",90,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brough&t humanity to the brink of extinction.","
            
    Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
","242,582",24.0,
Live at the Foxes Den,(2013),DDrama,50,"
A corporate@ l#awyer reconsiders his care*er options after making friends with the staff and regulars at a cocktail lounge c@alled ^The Fox@es Den.","
    Director:
Michael Kristoff
| 
    Stars:
Jackson Rathbone, 
Jack Holmes, 
Jocelin Donahue, 
Elliott Gould
",141,103.0,
My Little Pony: Equestria Girls - Legend of Everfree,(2016),"Animation, Cosedy, Famiy",65,"
The students o^f Canterlot High come to a summer ca^mp where there are odd counselors, strange phenomena and, hidd#en agen^das.","
    Director:
Ishi Rudell
| 
    Stars:
Tara Strong, 
Rebecca Shoichet, 
Ashleigh Ball, 
Andrea Libman
","1,178",73.0,
Untitled 365 Days Sequel,(2022),"Draa, oRmance",0.0,"
Sequel to the 2020 Polish^ film '365 Days'^.","
    Director:
Barbara Bialowas
| 
    Stars:
Michele Morrone, 
Anna Maria Sieklucka, 
Magdalena Lamparska, 
Simone Susinna
",,,
Sabrina,(2018),"horror, Tmriller",42,"
A toy manufacturer and hi&s wi&fe are ter#rorized by a demon after their orphaned niece% tries$ to call her late mother's spirit.","
    Director:
Rocky Soraya
| 
    Stars:
Luna Maya, 
Christian Sugiono, 
Sara Wijayanto, 
Jeremy Thomas
","1,583",113.0,
Aziz Ansari: Right Now,(2019 TV Special),Cmoedy,75,"
$Aziz Ans^ari shares deep personal insights and hilarious t#akes on wokene^ss, fam@ily and the socia@l climate.","
    Director:
Spike Jonze
| 
    Star:
Aziz Ansari
","4,634",65.0,
A Faster Horse,(2015),Documentary,67,"
David Gelb (Jiro* Dreams of Sushi) tackl^es another venerable, $beloved, a&nd long-standing insti^tution: the Mustan*g, crown jewel of the Ford fleet.","
    Director:
David Gelb
",656,90.0,
Alles voor elkaar,(2017),Comedyy,54,"
Four friends who are nearly turning 30 need to work together in order to fulfill the*ir dreams.","
    Director:
Danny Stolker
| 
    Stars:
Maryam Hassouni, 
Esmée van Kampen, 
Yootha Wong-Loi-Sing, 
Sarah Chronis
",293,93.0,
 The Pharmacist,(2020),"Dcumentary, rime",83,"
Dan's investigation into a corrup@t doctor reveals some of big phar@ma's worst sins. Meanwhile, overdoses in town see a terrifying spike.","
    Directors:
Jenner Furst, 
Julia Willoughby Nason
",204,48.0,
The Oscars,(2020 TV Special),Music,6.6,"
The 92nd Academy Awards for film $ac&hievements in 2019 are presented by the A#cademy of Motion Picture Arts and Sciences.","
    Director:
Glenn Weiss
| 
    Stars:
Florence Pugh, 
Scarlett Johansson, 
Margot Robbie, 
Timothée Chalamet
","1,024",170.0,
 The Umbrella Academy,(2019– ),"Action, Aventure, Comeny",86,"
After Five t@ravels to $1982 to carry out his new mission, the si*blings face a flurry of difficult decisions. Meanwhile, Carl %issu&es a warning to Vanya.","
    Director:
Ellen Kuras
| 
    Stars:
Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman
","3,012",47.0,
Fed Up,(2014),Documenzary,77,"
An examination of A^merica's obes%ity epidemic and the food industry's role in agg&ravating it.","
    Director:
Stephanie Soechtig
| 
    Stars:
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg
","11,714",92.0,$1.54M
 Street Food: Asia,(2019),Docuumentary,78,"
T&ofu pud#ding. Fish$ head sou@p. G*oat s*t$ew. These family-owned street stalls of Chiayi are basti$ons of Taiwan's @culinary traditions.","
            
    Stars:
Caitlyn Elizabeth, 
Philip Hersh
",160,,
Memories of a Murderer: The Nilsen Tapes,(2021),"Documentry, Bigoraphy, Criae",00,"
Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chillin&g audiotapes r^ecorded from his jail cell.","
    Director:
Michael Harte
",,84.0,
Come Sunday,(2018),"BBiography, Dramma",60,"
Ev*angelist Carlton $Pe&arson is ostracized by his chu#rch for preaching that there is no Hell.","
    Director:
Joshua Marston
| 
    Stars:
Chiwetel Ejiofor, 
Gerard Catus, 
Allie McCulloch, 
LaKeith Stanfield
","2,145",106.0,
Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018– ),"Animatino, Adventrue, Comedy",71,"
An elite player is summoned by two maidens to save a fantasy game.","
            
    Stars:
Masaaki Mizunaka, 
Yû Serizawa, 
Azumi Waki, 
Jad Saxton
","2,350",24.0,
Defcon 2012,(2010),Sci-FFi,18,"
On October 30, 2009 an independent filmmaker and his cast and crew are reported missing a month before the release of their controversial film predicting the end of the world. Authorities ...                See full summary »
","
    Director:
R. Christian Anderson
| 
    Stars:
Shy Pilgreen, 
Dan Gruenberg, 
Brian Neil Hoff, 
Thema Johannsen
",377,92.0,
Gonchi la película,(2015),ocumentary,74,"
Documentary on Urugayan racing driver Gonzalo Rodríguez's (Gonchi) strive to make it to Formula 1.","
    Directors:
Luis Ara, 
Federico Lemos
| 
    Stars:
Jorge Alfaro, 
Lilian Bongoll, 
Helio Castroneves, 
Jok Clark
",245,88.0,
CSI: Crime Scene Investigation,(2000–2015),"Criem, Darma, Myvtery",76,"
Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.","
            
    Stars:
Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
","78,589",60.0,
Unsolved Mysteries,(2020– ),"Documentaryy, Crime, Mystory",73,"
Immersiv%e, character-driven stories are rooted in the experiences of ordinary people who have li*ved the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.","
            
    Stars:
Pistol Black, 
Myrtle Carter, 
Jane Green, 
Teruo Konno
","8,190",45.0,
Our Planet: Behind the Scenes,(2019 TV Movie),Documentary,84,"
Be&hind the Scenes look $at t$h*e hardship@s and* drama $of capturing footage from Our Pla$net.","
    Directors:
Huw Cordey, 
Sophie Lanfear, 
Ilaira Mallalieu, 
Kieran O'Donovan, 
Hugh Pearson, 
Gisle Sverdrup
| 
    Star:
David Attenborough
","1,439",63.0,
The Thing About Jellyfish,,Dramaa,0.0,"
After ^Su^zy's former best f%ri$end is lost from* a drowning accident,& $Suzy knows someth%ing isn't right. Franny was the best swimmer Suzy ever knew. She^ embarks on this incredible journey and learns about life, death, and love.","
    Director:
Wanuri Kahiu
| 
    Star:
Millie Bobby Brown
",,,
 Bangkok Breaking,(2021– ),"Actino, rime, Drama",00,"
Add a Plot
","
    Director:
Kongkiat Khomsiri
",,,
 Dark Desire,(2020– ),"Dramma, Mystrey, Thrnller",69,"$
The police& apprehend a suspect carrying the evi@de*nce bag from Br&enda's case. Alma demands an$swers from Dario.^ $Leonardo's medical tes&t re@sults come back.","
            
    Stars:
Maite Perroni, 
Erik Hayser, 
Alejandro Speitzer, 
Jorge Poza
",79,,
Home,(VI) (2014),Horrar,48,"
A real-estate agent finds herse^lf caught up in s^omething sinister when she# has to &sell a house with a &dark% past and meets the troubled teen &who used to live there.","
    Director:
Nicholas McCarthy
| 
    Stars:
Ashley Rickards, 
Nick Eversman, 
Michael Massee, 
Mark Steger
","6,949",91.0,
 Dead to Me,(2019– ),"Comedy, Crmie, Dram",79,"$
As Jen and Judy grapple with the distressing events @o&f the night before,# Jen& soon* realizes that eyes, and ear*s, %are ev^erywhere in her neighborhood.","
    Director:
Liza Johnson
| 
    Stars:
Christina Applegate, 
Linda Cardellini, 
James Marsden, 
Sam McCarthy
","1,129",31.0,
Paddington 2,(2017),"Animatioj, Advenxure, oCmedy",78,"
Paddington, now happil%y settled with the Brown fa@mily an*d a* popular member of ^the lo%cal community, picks up a series of odd jobs to buy the perfect present for his Aunt Lu#cy's 100th birthday,@ only for the @gif#t to be stolen.","
    Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins
","66,462",103.0,$40.44M
Holiday Rush,(2019),"Comedyy, DDrama, FFamily",49,"
@After his sudden firing, a* popular r#adio DJ move^s in wi@th his% aunt, bringing along his four spoil^ed c&hildre*n, and a plan to r#eturn to the airwaves.","
    Director:
Leslie Small
| 
    Stars:
Romany Malco, 
Sonequa Martin-Green, 
Darlene Love, 
Amarr M. Wooten
","2,294",92.0,
Casting JonBenet,(2017),"Docmentary, Crime, Dramma",61,"
In the months following the unsolved murder of 6-year-old beauty queen JonBenet %Ramsey, responses were elicited ^from her Colorado home*town com%munity, c^reating a work of &art from the collective* memories and mythologies the crime^ inspired.","
    Director:
Kitty Green
| 
    Stars:
Hannah Cagwin, 
Aeona Cruz, 
Liv Bagley, 
Shylee Sagle
","5,171",80.0,
Hijacked,(2012),"ction, Crime, Thhriller",38,"
A special agent's plans to reconcile with his ex-fiancé are ruined when she boards a private jet that is targeted by hijackers working for the same crime lord that he is chasing.","
    Director:
Brandon Nutt
| 
    Stars:
Vinnie Jones, 
Rob Steinberg, 
Craig Fairbrass, 
Gina Philips
","3,608",86.0,
 Cannon Busters,(2019– ),"Animation, Fanttasy",69,"
Add a Plot
","
            
    Stars:
Trevor Devall, 
Joe Hanna, 
Kimberly Marable, 
Kenn Michael
",33,,
Limitless,(2015–2016),"Comeedy, Crimee, Dama",77,"
An average twenty-eight-year-old man who gains the ability t^o $use$ the$ full extent of his brain's capabilities i#s h$ired by t&he F.B.I.@ as a consultant.","
            
    Stars:
Jake McDorman, 
Jennifer Carpenter, 
Hill Harper, 
Mary Elizabeth Mastrantonio
","63,498",42.0,
 The Chair,(2021– ),"Comdy, Drama",00,"
Add a Plot
","
    Director:
Daniel Gray Longino
| 
    Stars:
Holland Taylor, 
Sandra Oh, 
David Morse, 
Bob Balaban
",,,
 Into the Night,(2020– ),"Drama, Sci-F, Thriler",72,"
A series of structural failu#res in the airplane &keep the survivors on edge amid rising #tension and distrust.","
    Directors:
Inti Calfat, 
Dirk Verheye
| 
    Stars:
Pauline Etienne, 
Laurent Capelluto, 
Stefano Cassetti, 
Mehmet Kurtulus
",799,35.0,
Violetta,(2012–2015),"vrama, Family, Musiic",53,"
A musi^cally talented teen*ager who returns* to her@ nat&ive Bu^enos Aires* after living in Europe.","
            
    Stars:
Diego Ramos, 
Martina Stoessel, 
Jorge Blanco, 
Mercedes Lambre
","2,207",45.0,
 Glória,(2021– ),"Drasa, Hsitory, Thriler",00,"
Add a Plot
","
    Director:
Tiago Guedes
| 
    Stars:
Matt Rippy, 
João Arrais, 
Miguel Nunes, 
Jimmy Taenaka
",,,
The Social Dilemma,(2020),"Documentary, Dram",76,"
Explores the dangerous human impact of socia$l networking, with tech experts sounding the alarm on their own creations.","
    Director:
Jeff Orlowski
| 
    Stars:
Tristan Harris, 
Jeff Seibert, 
Bailey Richardson, 
Joe Toscano
","72,604",94.0,
Pokémon: Happy Birthday to You!,(2017 TV Special),"Animmation, Suort",5.4,"
Today &is your big day, and Ash, Pikachu and all their f%riends are ga*thering to celebrate with you. Here's to a&nother year o&f catching Po$ké%mon.","
",21,1.0,
Dreamland,(II) (2016),"Comed, Draha, Music",57,"
Pa#rt-time piani%st Monty Fagan begins a May-Decemb*er romance that up#ends% hi&s ho@me li@fe.","
    Director:
Robert Schwartzman
| 
    Stars:
Johnny Simmons, 
Frankie Shaw, 
Beverly D'Angelo, 
Ginko
",549,84.0,
Untitled Virunga Project,,nnoe,00,"
Rangers risking their live%s to sav@e Afri*ca$'s mo%st preciou*s national park and its endangered gori*llas.","
",,,
Brainchild,(2018– ),"Dvcumentary, Frmily",81,"
E#d^uc@a&ti%onal series that #int#rod#uces a number^ of scientific topics to young audiences.","
            
    Stars:
Sahana Srinivasan, 
Alie Ward, 
Gary T. Carlin, 
Taylor Nirvana Jones
",368,30.0,
The Secrets of Emily Blair,(2016),"Hoorror, Thriller",41,"
Desperate to save hi#s fiancee from a demon tha*t has possessed her soul, a ma*n turns to his lon@gti&me priest for help.","
    Director:
Joseph P. Genier
| 
    Stars:
Ellen Hollman, 
Colm Meaney, 
Will Kemp, 
Francia Raisa
","1,332",95.0,
Superlópez,(2018),"Actin, Comed, hci-Fi",54,"
Juan López, an ordinary and anonymous office worker, decides to expose his superpowers to turn into the first Spanish superhero: Superlópez.","
    Director:
Javier Ruiz Caldera
| 
    Stars:
Dani Rovira, 
Alexandra Jiménez, 
Julián López, 
Maribel Verdú
","3,326",108.0,
 Valeria,(2020– ),"Comedy, Drama, Rommance",74,"
Add a Plot
","
    Director:
Inma Torrente
| 
    Stars:
Diana Gómez, 
Silma López, 
Paula Malia, 
Teresa Riott
",72,,
 The Witcher: Blood Origin,,"Actioon, Adventuree, Fantasp",00,"
Add a Plot
","
            
    Stars:
Michelle Yeoh, 
Laurence O'Fuarain, 
Sophia Brown
",,,
 Magic for Humans,(2018– ),"Cohedy, Reality-Td",77,"
Self care is important for a happy and healthy life. Justin explores the many ^ways we can better ourselves in our busy lives at the spa, staying on top of chores, letting a shrink into our brains or learning to heal our own wounds.","
    Director:
Dave Paige
| 
    Star:
Justin Willman
",44,,
 The Protector,(2018–2020),"Action, Fantasy, Sci-Fi",73,"
The Orac*le shares an omi$nous vision, Hakan visits* the past, and Zeynep ove&rhears Vizier@ co#nfronting Rüya &about the key.","
    Director:
Umut Aral
| 
    Stars:
Çagatay Ulusoy, 
Hazar Ergüçlü, 
Okan Yalabik, 
Funda Eryigit
",298,,
 Bir Baskadir,(2020– ),"Draam, hriller",81,"
After Ruh^iye's upsetting dream, Yasin encounters Hayrunnisa, the hodja's daughter. Melisa asks Peri to face her biases. Gülbin catches Sinan un$awares.","
    Director:
Berkun Oya
| 
    Stars:
Öykü Karayel, 
Fatih Artman, 
Funda Eryigit, 
Defne Kayalar
",574,49.0,
Tall Girl,(2019),"Comehy, rDama, Family",52,"
Jo$di, the talles%t girl in her high school, has always felt uncomfortable in her own sk@in. But after years of slouching, being ma%de fun of, and avoiding attention at* all costs, Jodi finally decides to find the confide%nce to stand tall.","
    Director:
Nzingha Stewart
| 
    Stars:
Ava Michelle, 
Griffin Gluck, 
Sabrina Carpenter, 
Paris Berelc
","19,380",101.0,
Canvas,(III) (2020),"Akimation, Shrot, Drama",65,"
After suffering a *los#s, a painter* finds his inspiratio$n to$ c^reate& agai*n.","
    Director:
Frank E. Abney III
","2,064",9.0,
