MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Uncut Gems,(2019),"Crime, Drama, Thriller  ",7.4  ,With his debts mounting and angry collectors closing in a fast-talking New York City jeweler risks everything in hope of staying afloat and alive,"
    Directors:
Benny Safdie, 
Josh Safdie
| 
    Stars:
Adam Sandler, 
Julia Fox, 
Idina Menzel, 
Mesfin Lamengo
","239,770",135.0,
Bameul geotneun seonbi,(2015),"Action, Fantasy, History  ",7.3  ,Set in an alternate Joseon dynasty Jo Yang-sun Lee Yu Bi is the daughter of a nobleman whose family loses everything when her father is framed for treason To make ends meet Yang-sun See full summary ,"
            
    Stars:
Lee Joon-Gi, 
Tae-Hwan Choi, 
Jang Hie-jin, 
Chang-min Shim
",792,,
 Russian Doll,(2019– ),"Adventure, Comedy, Drama",0.0,Add a Plot,"
            
    Stars:
Annie Murphy, 
Sharlto Copley, 
Ephraim Sykes, 
Carolyn Michelle Smith
",,,
 The Rain,(2018–2020),"Drama, Sci-Fi, Thriller  ",7.5  ,"In the wake of their grim encounter, Martin and Patrick race back to the base. Meanwhile, a grief-stricken survivor plots revenge.  ","
    Director:
Josefine Kirkeskov
| 
    Stars:
Alba August, 
Lucas Lynggaard Tønnesen, 
Mikkel Boe Følsgaard, 
Lukas Løkken
",614,42.0,
Modern Family,(2009–2020),"Comedy, Drama, Romance  ",8.4  ,Three different but related families face trials and tribulations in their own uniquely comedic ways.  ,"
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
","378,030",22.0,
 Painkiller,(I),"Crime, Drama  ",0.0  ,Add a Plot  ,"
    Director:
Peter Berg
",,,
The Other Side of the Wind,(2018),Drama  ,6.8  ,A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.  ,"
    Director:
Orson Welles
| 
    Stars:
John Huston, 
Oja Kodar, 
Peter Bogdanovich, 
Susan Strasberg
","6,717",122.0,
 Casi Feliz,(2020– ),Comedy,6.7,Add a Plot,"
            
    Stars:
Sebastián Wainraich, 
Natalie Pérez, 
Santiago Korovsky, 
Hugo Arana
",31,27.0,
Shingeki no kyojin,(2013–2022),"Animation, Action, Adventure  ",10.0  ,After his hometown is destroyed and his mother is killed young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction  ,"
            
    Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
","242,582",24.0,
Live at the Foxes Den,(2013),Drama  ,5.0  ,A corporate lawyer reconsiders his career options after making friends with the staff and regulars at a cocktail lounge called The Foxes Den  ,"
    Director:
Michael Kristoff
| 
    Stars:
Jackson Rathbone, 
Jack Holmes, 
Jocelin Donahue, 
Elliott Gould
",141,103.0,
My Little Pony: Equestria Girls - Legend of Everfree,(2016),"Animation, Comedy, Family  ",6.5  ,The students of Canterlot High come to a summer camp where there are odd counselors strange phenomena and hidden agendas  ,"
    Director:
Ishi Rudell
| 
    Stars:
Tara Strong, 
Rebecca Shoichet, 
Ashleigh Ball, 
Andrea Libman
","1,178",73.0,
Untitled 365 Days Sequel,(2022),"Drama, Romance  ",0.0  ,Sequel to the 2020 Polish film 365 Days  ,"
    Director:
Barbara Bialowas
| 
    Stars:
Michele Morrone, 
Anna Maria Sieklucka, 
Magdalena Lamparska, 
Simone Susinna
",,,
Sabrina,(2018),"Horror, Thriller",4.2,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit,"
    Director:
Rocky Soraya
| 
    Stars:
Luna Maya, 
Christian Sugiono, 
Sara Wijayanto, 
Jeremy Thomas
","1,583",113.0,
Aziz Ansari: Right Now,(2019 TV Special),Comedy  ,10.0  ,"Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.  ","
    Director:
Spike Jonze
| 
    Star:
Aziz Ansari
","4,634",65.0,
A Faster Horse,(2015),Documentary  ,10.0  ,David Gelb Jiro Dreams of Sushi tackles another venerable beloved and long-standing institution the Mustangs crown jewel of the Ford fleet.  ,"
    Director:
David Gelb
",656,90.0,
Alles voor elkaar,(2017),Comedy  ,10.0  ,Four friends who are nearly turning 30 need to work together in order to fulfill their dreams.  ,"
    Director:
Danny Stolker
| 
    Stars:
Maryam Hassouni, 
Esmée van Kampen, 
Yootha Wong-Loi-Sing, 
Sarah Chronis
",293,93.0,
 The Pharmacist,(2020),"Documentary, crime  ",10.0  ,Dans investigation into a corrupt doctor reveals some of big pharmas worst sins Meanwhile overdoses in town see a terrifying spike.  ,"
    Directors:
Jenner Furst, 
Julia Willoughby Nason
",204,48.0,
The Oscars,(2020 TV Special),Music,6.6,The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,"
    Director:
Glenn Weiss
| 
    Stars:
Florence Pugh, 
Scarlett Johansson, 
Margot Robbie, 
Timothée Chalamet
","1,024",170.0,
 The Umbrella Academy,(2019– ),"Action, Adventure, Comedy  ",10.0  ,After Five travels to 1982 to carry out his new mission the siblings face a flurry of difficult decisions Meanwhile Carl issues a warning to Vanya  ,"
    Director:
Ellen Kuras
| 
    Stars:
Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman
","3,012",47.0,
Fed Up,(2014),Documentary  ,7.7  ,An examination of Americas obesity epidemic and the food industrys role in aggravating it  ,"
    Director:
Stephanie Soechtig
| 
    Stars:
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg
","11,714",92.0,$1.54M
 Street Food: Asia,(2019),Documentary  ,7.8  ,Tofu pudding Fish head soup Goat stew These familyowned street stalls of Chiayi are bastions of Taiwans culinary traditions  ,"
            
    Stars:
Caitlyn Elizabeth, 
Philip Hersh
",160,,
Memories of a Murderer: The Nilsen Tapes,(2021),"Documentary, Biography, Crime  ",0.0  ,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell  ,"
    Director:
Michael Harte
",,84.0,
Come Sunday,(2018),"Biography, Drama",6.0,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell,"
    Director:
Joshua Marston
| 
    Stars:
Chiwetel Ejiofor, 
Gerard Catus, 
Allie McCulloch, 
LaKeith Stanfield
","2,145",106.0,
Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018– ),"Animation, Adventure, Comedy  ",10.0  ,An elite player is summoned by two maidens to save a fantasy game.  ,"
            
    Stars:
Masaaki Mizunaka, 
Yû Serizawa, 
Azumi Waki, 
Jad Saxton
","2,350",24.0,
Defcon 2012,(2010),Sci-Fi  ,10.0  ,"On October 30, 2009 an independent filmmaker and his cast and crew are reported missing a month before the release of their controversial film predicting the end of the world Authorities See full summary  ","
    Director:
R. Christian Anderson
| 
    Stars:
Shy Pilgreen, 
Dan Gruenberg, 
Brian Neil Hoff, 
Thema Johannsen
",377,92.0,
Gonchi la película,(2015),Documentary  ,10.0  ,Documentary on Urugayan racing driver Gonzalo Rodríguez's Gonchi strive to make it to Formula 1.  ,"
    Directors:
Luis Ara, 
Federico Lemos
| 
    Stars:
Jorge Alfaro, 
Lilian Bongoll, 
Helio Castroneves, 
Jok Clark
",245,88.0,
CSI: Crime Scene Investigation,(2000–2015),"Crime, Drama, Mystery  ",10.0  ,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.  ,"
            
    Stars:
Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
","78,589",60.0,
Unsolved Mysteries,(2020– ),"Documentary, Crime, Mystery",10.0,Immersive character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable Families detectives and journalists hope viewers hold the clues to solving these mysteries.,"
            
    Stars:
Pistol Black, 
Myrtle Carter, 
Jane Green, 
Teruo Konno
","8,190",45.0,
Our Planet: Behind the Scenes,(2019 TV Movie),Documentary  ,10.0  ,Behind the Scenes look at the hardships and drama of capturing footage from Our Planet.  ,"
    Directors:
Huw Cordey, 
Sophie Lanfear, 
Ilaira Mallalieu, 
Kieran O'Donovan, 
Hugh Pearson, 
Gisle Sverdrup
| 
    Star:
David Attenborough
","1,439",63.0,
The Thing About Jellyfish,,Drama  ,0.0  ,After Suzys former best friend is lost from a drowning accident Suzy knows something isnt right. Franny was the best swimmer Suzy ever knew. She embarks on this incredible journey and learns about life death and love.  ,"
    Director:
Wanuri Kahiu
| 
    Star:
Millie Bobby Brown
",,,
 Bangkok Breaking,(2021– ),"Action, Crime, Drama  ",0.0  ,Add a Plot  ,"
    Director:
Kongkiat Khomsiri
",,,
 Dark Desire,(2020– ),"Drama, Mystery, Thriller  ",6.9  ,The police apprehend a suspect carrying the evidence bag from Brendas case. Alma demands answers from Dario. Leonardos medical test results come back.  ,"
            
    Stars:
Maite Perroni, 
Erik Hayser, 
Alejandro Speitzer, 
Jorge Poza
",79,,
Home,(VI) (2014),Horror,4.8,A realestate agent finds herself caught up in something sinister when she has to sell a house with a dark past and meets the troubled teen who used to live there.,"
    Director:
Nicholas McCarthy
| 
    Stars:
Ashley Rickards, 
Nick Eversman, 
Michael Massee, 
Mark Steger
","6,949",91.0,
 Dead to Me,(2019– ),"Comedy, Crime, Drama  ",10.0  ,As Jen and Judy grapple with the distressing events of the night before Jen soon realizes that eyes and ears are everywhere in her neighborhood.  ,"
    Director:
Liza Johnson
| 
    Stars:
Christina Applegate, 
Linda Cardellini, 
James Marsden, 
Sam McCarthy
","1,129",31.0,
Paddington 2,(2017),"Animation, Adventure, Comedy  ",10.0  ,Paddington now happily settled with the Brown family and a popular member of the local community picks up a series of odd jobs to buy the perfect present for his Aunt Lucys 100th birthday only for the gift to be stolen.  ,"
    Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins
","66,462",103.0,$40.44M
Holiday Rush,(2019),"Comedy, Drama, Family  ",4.9  ,After his sudden firing a popular radio DJ moves in with his aunt bringing along his four spoiled children and a plan to return to the airwaves.  ,"
    Director:
Leslie Small
| 
    Stars:
Romany Malco, 
Sonequa Martin-Green, 
Darlene Love, 
Amarr M. Wooten
","2,294",92.0,
Casting JonBenet,(2017),"Documentary, Crime, Drama  ",6.1  ,In the months following the unsolved murder of 6yearold beauty queen JonBenet Ramsey responses were elicited from her Colorado hometown community creating a work of art from the collective memories and mythologies the crime inspired.  ,"
    Director:
Kitty Green
| 
    Stars:
Hannah Cagwin, 
Aeona Cruz, 
Liv Bagley, 
Shylee Sagle
","5,171",80.0,
Hijacked,(2012),"Action, Crime, Thriller",3.8,A special agents plans to reconcile with his exfiancé are ruined when she boards a private jet that is targeted by hijackers working for the same crime lord that he is chasing.,"
    Director:
Brandon Nutt
| 
    Stars:
Vinnie Jones, 
Rob Steinberg, 
Craig Fairbrass, 
Gina Philips
","3,608",86.0,
 Cannon Busters,(2019– ),"Animation, Fantasy  ",69.0  ,Add a Plot  ,"
            
    Stars:
Trevor Devall, 
Joe Hanna, 
Kimberly Marable, 
Kenn Michael
",33,,
Limitless,(2015–2016),"Comedy, Crime, Drama  ",77.0  ,An average twenty-eight-year-old man who gains the ability to use the full extent of his brains capabilities is hired by the FBI as a consultant.  ,"
            
    Stars:
Jake McDorman, 
Jennifer Carpenter, 
Hill Harper, 
Mary Elizabeth Mastrantonio
","63,498",42.0,
 The Chair,(2021– ),"Comedy, Drama  ",0.0  ,Add a Plot  ,"
    Director:
Daniel Gray Longino
| 
    Stars:
Holland Taylor, 
Sandra Oh, 
David Morse, 
Bob Balaban
",,,
 Into the Night,(2020– ),"Drama, Sci-Fi, Thriller  ",72.0  ,A series of structural failures in the airplane keep the survivors on edge amid rising tension and distrust.  ,"
    Directors:
Inti Calfat, 
Dirk Verheye
| 
    Stars:
Pauline Etienne, 
Laurent Capelluto, 
Stefano Cassetti, 
Mehmet Kurtulus
",799,35.0,
Violetta,(2012–2015),"Drama, Family, Music",53.0,A musically talented teenager who returns to her native Buenos Aires after living in Europe.,"
            
    Stars:
Diego Ramos, 
Martina Stoessel, 
Jorge Blanco, 
Mercedes Lambre
","2,207",45.0,
 Glória,(2021– ),"Drama, History, Thriller  ",0.0  ,Add a Plot  ,"
    Director:
Tiago Guedes
| 
    Stars:
Matt Rippy, 
João Arrais, 
Miguel Nunes, 
Jimmy Taenaka
",,,
The Social Dilemma,(2020),"Documentary, Drama  ",10.0  ,Explores the dangerous human impact of social networking with tech experts sounding the alarm on their own creations  ,"
    Director:
Jeff Orlowski
| 
    Stars:
Tristan Harris, 
Jeff Seibert, 
Bailey Richardson, 
Joe Toscano
","72,604",94.0,
Pokémon: Happy Birthday to You!,(2017 TV Special),"Animation, Sport  ",5.4  ,Today is your big day and Ash Pikachu and all their friends are gathering to celebrate with you Heres to another year of catching Pokemon  ,"
",21,1.0,
Dreamland,(II) (2016),"Comedy, Drama, Music  ",10.0  ,Part time pianist Monty Fagan begins a May December romance that upends his home life  ,"
    Director:
Robert Schwartzman
| 
    Stars:
Johnny Simmons, 
Frankie Shaw, 
Beverly D'Angelo, 
Ginko
",549,84.0,
Untitled Virunga Project,,None,0.0,Rangers risking their lives to save Africas most precious national park and its endangered gorillas,"
",,,
Brainchild,(2018– ),"Documentary, Family  ",10.0  ,Educational series that introduces a number of scientific topics to young audiences.  ,"
            
    Stars:
Sahana Srinivasan, 
Alie Ward, 
Gary T. Carlin, 
Taylor Nirvana Jones
",368,30.0,
The Secrets of Emily Blair,(2016),"Horror, Thriller  ",4.1  ,"Desperate to save his fiancee from a demon that has possessed her soul, a man turns to his longtime priest for help.  ","
    Director:
Joseph P. Genier
| 
    Stars:
Ellen Hollman, 
Colm Meaney, 
Will Kemp, 
Francia Raisa
","1,332",95.0,
Superlópez,(2018),"Action, Comedy, Sci-Fi  ",5.4  ,"Juan López, an ordinary and anonymous office worker, decides to expose his superpowers to turn into the first Spanish superhero Superlópez.  ","
    Director:
Javier Ruiz Caldera
| 
    Stars:
Dani Rovira, 
Alexandra Jiménez, 
Julián López, 
Maribel Verdú
","3,326",108.0,
 Valeria,(2020– ),"Comedy, Drama, Romance  ",7.4  ,Add a Plot  ,"
    Director:
Inma Torrente
| 
    Stars:
Diana Gómez, 
Silma López, 
Paula Malia, 
Teresa Riott
",72,,
 The Witcher: Blood Origin,,"Action, Adventure, Fantasy",0.0,Add a Plot,"
            
    Stars:
Michelle Yeoh, 
Laurence O'Fuarain, 
Sophia Brown
",,,
 Magic for Humans,(2018– ),"Comedy, Reality-TV  ",7.7  ,Self care is important for a happy and healthy life Justin explores the many ways we can better ourselves in our busy lives at the spa staying on top of chores letting a shrink into our brains or learning to heal our own wounds  ,"
    Director:
Dave Paige
| 
    Star:
Justin Willman
",44,,
 The Protector,(2018–2020),"Action, Fantasy, Sci-Fi  ",7.3  ,The Oracle shares an ominous vision Hakan visits the past and Zeynep overhears Vizier confronting Rüya about the key  ,"
    Director:
Umut Aral
| 
    Stars:
Çagatay Ulusoy, 
Hazar Ergüçlü, 
Okan Yalabik, 
Funda Eryigit
",298,,
 Bir Baskadir,(2020– ),"Drama, Thriller  ",8.1  ,After Ruhiyes upsetting dream Yasin encounters Hayrunnisa the hodjas daughter Melisa asks Peri to face her biases Gülbin catches Sinan unawares  ,"
    Director:
Berkun Oya
| 
    Stars:
Öykü Karayel, 
Fatih Artman, 
Funda Eryigit, 
Defne Kayalar
",574,49.0,
Tall Girl,(2019),"Comedy, Drama, Family  ",5.2  ,Jodi the tallest girl in her high school has always felt uncomfortable in her own skin But after years of slouching being made fun of and avoiding attention at all costs Jodi finally decides to find the confidence to stand tall  ,"
    Director:
Nzingha Stewart
| 
    Stars:
Ava Michelle, 
Griffin Gluck, 
Sabrina Carpenter, 
Paris Berelc
","19,380",101.0,
Canvas,(III) (2020),"Animation, Short, Drama",6.5,After suffering a loss a painter finds his inspiration to create again,"
    Director:
Frank E. Abney III
","2,064",9.0,
Sila Samayangalil,(2016),Drama  ,10.0  ,Seven People anxiously wait for their HIV results in a clinic bribe a clinical staff to know their results in advance What is the result  ,"
    Director:
Priyadarshan
| 
    Stars:
Prakash Raj, 
Ashok Selvan, 
Nassar, 
Shreya Reddy
",779,110.0,
Westbrick Murders,(2010),"Action, Crime, Thriller  ",10.0  ,The town of Westbrick is a rough place to live in It is here that the young rookie cop Matthew lives with his wife Meanwhile notorious serial killers Billy and Barbara embark on a See full summary  ,"
    Director:
Shaun Rana
| 
    Stars:
Daniell Edwards, 
Sami Darr, 
Anna Bård, 
Ian Burns
",365,90.0,
Untitled Netflix/Ciro Guerra Project,(2019– ),Crime  ,0.0  ,A young detective and her partner investigate a series of mysterious murders in the Amazon jungle  ,"
",,,
